datetime,charge_MW
2018-10-16 00:00:00,0
2018-10-16 00:30:00,0
2018-10-16 01:00:00,0
2018-10-16 01:30:00,0
2018-10-16 02:00:00,0
2018-10-16 02:30:00,0
2018-10-16 03:00:00,0
2018-10-16 03:30:00,0
2018-10-16 04:00:00,0
2018-10-16 04:30:00,0
2018-10-16 05:00:00,0
2018-10-16 05:30:00,0
2018-10-16 06:00:00,0
2018-10-16 06:30:00,0
2018-10-16 07:00:00,0
2018-10-16 07:30:00,0
2018-10-16 08:00:00,0
2018-10-16 08:30:00,0
2018-10-16 09:00:00,0
2018-10-16 09:30:00,0
2018-10-16 10:00:00,0.283062615
2018-10-16 10:30:00,0.277536134
2018-10-16 11:00:00,0.410636006
2018-10-16 11:30:00,1.283506485
2018-10-16 12:00:00,1.423161044
2018-10-16 12:30:00,1.386930056
2018-10-16 13:00:00,1.839081072
2018-10-16 13:30:00,1.831163048
2018-10-16 14:00:00,1.621122211
2018-10-16 14:30:00,1.614421053
2018-10-16 15:00:00,0.029380276
2018-10-16 15:30:00,-0.803203356
2018-10-16 16:00:00,-1.190142201
2018-10-16 16:30:00,-1.238969766
2018-10-16 17:00:00,-1.372454904
2018-10-16 17:30:00,-1.382164991
2018-10-16 18:00:00,-1.356603311
2018-10-16 18:30:00,-1.283157889
2018-10-16 19:00:00,-1.211632572
2018-10-16 19:30:00,-1.043046449
2018-10-16 20:00:00,-0.665162295
2018-10-16 20:30:00,-0.453462271
2018-10-16 21:00:00,0
2018-10-16 21:30:00,0
2018-10-16 22:00:00,0
2018-10-16 22:30:00,0
2018-10-16 23:00:00,0
2018-10-16 23:30:00,0
2018-10-17 00:00:00,0
2018-10-17 00:30:00,0
2018-10-17 01:00:00,0
2018-10-17 01:30:00,0
2018-10-17 02:00:00,0
2018-10-17 02:30:00,0
2018-10-17 03:00:00,0
2018-10-17 03:30:00,0
2018-10-17 04:00:00,0
2018-10-17 04:30:00,0
2018-10-17 05:00:00,0
2018-10-17 05:30:00,0
2018-10-17 06:00:00,0
2018-10-17 06:30:00,0
2018-10-17 07:00:00,0
2018-10-17 07:30:00,0
2018-10-17 08:00:00,0
2018-10-17 08:30:00,0
2018-10-17 09:00:00,0.114688076
2018-10-17 09:30:00,0.135265703
2018-10-17 10:00:00,0.492755798
2018-10-17 10:30:00,0.523439565
2018-10-17 11:00:00,0.881740811
2018-10-17 11:30:00,0.926157077
2018-10-17 12:00:00,1.559331717
2018-10-17 12:30:00,1.529824557
2018-10-17 13:00:00,1.537566334
2018-10-17 13:30:00,1.492978624
2018-10-17 14:00:00,1.464462205
2018-10-17 14:30:00,1.341789532
2018-10-17 15:00:00,0
2018-10-17 15:30:00,-0.940975326
2018-10-17 16:00:00,-1.258202664
2018-10-17 16:30:00,-1.325384448
2018-10-17 17:00:00,-1.391448452
2018-10-17 17:30:00,-1.39785954
2018-10-17 18:00:00,-1.29879867
2018-10-17 18:30:00,-1.226193035
2018-10-17 19:00:00,-1.128109741
2018-10-17 19:30:00,-0.961187932
2018-10-17 20:00:00,-0.641350212
2018-10-17 20:30:00,-0.430489975
2018-10-17 21:00:00,0
2018-10-17 21:30:00,0
2018-10-17 22:00:00,0
2018-10-17 22:30:00,0
2018-10-17 23:00:00,0
2018-10-17 23:30:00,0
2018-10-18 00:00:00,0
2018-10-18 00:30:00,0
2018-10-18 01:00:00,0
2018-10-18 01:30:00,0
2018-10-18 02:00:00,0
2018-10-18 02:30:00,0
2018-10-18 03:00:00,0
2018-10-18 03:30:00,0
2018-10-18 04:00:00,0
2018-10-18 04:30:00,0
2018-10-18 05:00:00,0
2018-10-18 05:30:00,0
2018-10-18 06:00:00,0
2018-10-18 06:30:00,0
2018-10-18 07:00:00,0
2018-10-18 07:30:00,0
2018-10-18 08:00:00,0
2018-10-18 08:30:00,0
2018-10-18 09:00:00,0.238522647
2018-10-18 09:30:00,0.244504504
2018-10-18 10:00:00,0.360184718
2018-10-18 10:30:00,0.355902273
2018-10-18 11:00:00,0.533784042
2018-10-18 11:30:00,1.201032873
2018-10-18 12:00:00,1.696536358
2018-10-18 12:30:00,1.69608407
2018-10-18 13:00:00,1.421073824
2018-10-18 13:30:00,1.422850517
2018-10-18 14:00:00,1.349255336
2018-10-18 14:30:00,1.317044075
2018-10-18 15:00:00,0.163224764
2018-10-18 15:30:00,-0.816264854
2018-10-18 16:00:00,-1.200024772
2018-10-18 16:30:00,-1.250663581
2018-10-18 17:00:00,-1.345345097
2018-10-18 17:30:00,-1.361901611
2018-10-18 18:00:00,-1.393553834
2018-10-18 18:30:00,-1.298087558
2018-10-18 19:00:00,-1.151714672
2018-10-18 19:30:00,-0.993212647
2018-10-18 20:00:00,-0.713694279
2018-10-18 20:30:00,-0.475461843
2018-10-18 21:00:00,0
2018-10-18 21:30:00,0
2018-10-18 22:00:00,0
2018-10-18 22:30:00,0
2018-10-18 23:00:00,0
2018-10-18 23:30:00,0
2018-10-19 00:00:00,0
2018-10-19 00:30:00,0
2018-10-19 01:00:00,0
2018-10-19 01:30:00,0
2018-10-19 02:00:00,0
2018-10-19 02:30:00,0
2018-10-19 03:00:00,0
2018-10-19 03:30:00,0
2018-10-19 04:00:00,0
2018-10-19 04:30:00,0
2018-10-19 05:00:00,0
2018-10-19 05:30:00,0
2018-10-19 06:00:00,0
2018-10-19 06:30:00,0
2018-10-19 07:00:00,0
2018-10-19 07:30:00,0
2018-10-19 08:00:00,0
2018-10-19 08:30:00,0.126256946
2018-10-19 09:00:00,0.237170862
2018-10-19 09:30:00,0.259073091
2018-10-19 10:00:00,0.525937368
2018-10-19 10:30:00,0.546408152
2018-10-19 11:00:00,0.99091734
2018-10-19 11:30:00,1.128848566
2018-10-19 12:00:00,1.243281707
2018-10-19 12:30:00,1.208199674
2018-10-19 13:00:00,1.216559905
2018-10-19 13:30:00,1.221852959
2018-10-19 14:00:00,1.125351407
2018-10-19 14:30:00,1.151053927
2018-10-19 15:00:00,1.019088097
2018-10-19 15:30:00,-0.902956305
2018-10-19 16:00:00,-1.279741567
2018-10-19 16:30:00,-1.339742297
2018-10-19 17:00:00,-1.411206281
2018-10-19 17:30:00,-1.417505626
2018-10-19 18:00:00,-1.290833345
2018-10-19 18:30:00,-1.212977286
2018-10-19 19:00:00,-1.079985699
2018-10-19 19:30:00,-0.9384573
2018-10-19 20:00:00,-0.65891041
2018-10-19 20:30:00,-0.467683883
2018-10-19 21:00:00,0
2018-10-19 21:30:00,0
2018-10-19 22:00:00,0
2018-10-19 22:30:00,0
2018-10-19 23:00:00,0
2018-10-19 23:30:00,0
2018-10-20 00:00:00,0
2018-10-20 00:30:00,0
2018-10-20 01:00:00,0
2018-10-20 01:30:00,0
2018-10-20 02:00:00,0
2018-10-20 02:30:00,0
2018-10-20 03:00:00,0
2018-10-20 03:30:00,0
2018-10-20 04:00:00,0
