dateTimeUTC,demandMWtask2,PVMWtask2
2019-03-10 00:00:00,2.613157531,0
2019-03-10 00:30:00,2.564309197,0
2019-03-10 01:00:00,2.363005492,0.003142208
2019-03-10 01:30:00,2.27945975,0.00237444
2019-03-10 02:00:00,2.229174591,0.000712037
2019-03-10 02:30:00,2.194524667,0.002125412
2019-03-10 03:00:00,2.074848249,0.002236038
2019-03-10 03:30:00,2.043459166,0.002511084
2019-03-10 04:00:00,1.963706775,4.04716E-05
2019-03-10 04:30:00,1.928593169,0.000433534
2019-03-10 05:00:00,1.966428892,0
2019-03-10 05:30:00,1.986387652,0.001627266
2019-03-10 06:00:00,2.062970434,0.003993273
2019-03-10 06:30:00,2.17661273,0.014344782
2019-03-10 07:00:00,2.300516908,0.22785005
2019-03-10 07:30:00,2.665718865,0.322833657
2019-03-10 08:00:00,2.996477963,0.483956695
2019-03-10 08:30:00,3.14705724,0.776546061
2019-03-10 09:00:00,3.375095286,1.872967005
2019-03-10 09:30:00,3.381458741,2.057438374
2019-03-10 10:00:00,3.425912076,2.013455153
2019-03-10 10:30:00,3.359000854,2.218442917
2019-03-10 11:00:00,3.274479398,2.27112627
2019-03-10 11:30:00,3.243699706,2.465708256
2019-03-10 12:00:00,3.328699418,2.627776861
2019-03-10 12:30:00,3.282900877,2.667145729
2019-03-10 13:00:00,3.244181729,2.441439629
2019-03-10 13:30:00,3.206325671,2.338159561
2019-03-10 14:00:00,3.290331972,2.117387772
2019-03-10 14:30:00,3.292828256,1.923562884
2019-03-10 15:00:00,3.443990874,1.534235477
2019-03-10 15:30:00,3.560231386,0.987714648
2019-03-10 16:00:00,3.852251134,0.753346682
2019-03-10 16:30:00,4.162158194,0.526109159
2019-03-10 17:00:00,4.485691115,0.154898375
2019-03-10 17:30:00,4.648366003,0.044246703
2019-03-10 18:00:00,4.913174426,0.001573175
2019-03-10 18:30:00,4.7993527,0
2019-03-10 19:00:00,4.529359378,0.00184688
2019-03-10 19:30:00,4.29657152,0
