dateTimeUTC,demandMWNewModel,demandMWOldModel,PVMWNewModel,PVMWOldModel
2018-10-15 23:00:00,1.84193119,1.797997318,-0.008577297,0.001831472
2018-10-15 23:30:00,1.75173164,1.700186853,-0.008577297,0.001831472
2018-10-16 00:00:00,1.795316547,1.70462689,-0.008577297,0.001831472
2018-10-16 00:30:00,1.727146173,1.636021033,-0.008577297,0.001831472
2018-10-16 01:00:00,1.642624701,1.555522754,-0.009671576,0.001831472
2018-10-16 01:30:00,1.597198594,1.510507514,-0.009671576,0.001831472
2018-10-16 02:00:00,1.586730771,1.506363065,-0.009671576,0.001831472
2018-10-16 02:30:00,1.554900683,1.472254916,-0.009671576,0.001831472
2018-10-16 03:00:00,1.540029154,1.468292487,-0.009671576,0.001831472
2018-10-16 03:30:00,1.519210166,1.437321802,-0.009671576,0.001831472
2018-10-16 04:00:00,1.627144791,1.514569109,-0.009671576,0.001831472
2018-10-16 04:30:00,1.753069521,1.638824285,-0.009671576,0.001831472
2018-10-16 05:00:00,2.203663246,2.001450291,-0.009671576,0.001831472
2018-10-16 05:30:00,2.523866585,2.289213272,-0.009671576,0.001831472
2018-10-16 06:00:00,2.980209414,2.739829952,-0.009752773,-0.008161187
2018-10-16 06:30:00,3.216092839,2.96336572,-0.00032511,0.001831472
2018-10-16 07:00:00,3.302639063,3.102786322,0.103343649,0.145301163
2018-10-16 07:30:00,3.317161117,3.111366286,0.163783752,0.221160591
2018-10-16 08:00:00,3.277859924,3.022921256,0.461403795,0.397607267
2018-10-16 08:30:00,3.259734746,2.997703749,0.475586481,0.64188695
2018-10-16 09:00:00,3.144807164,2.925316463,1.143687335,0.820533156
2018-10-16 09:30:00,3.101377104,2.875282905,1.121358117,0.921282947
2018-10-16 10:00:00,3.019623941,2.865921453,1.659135379,0.94723928
2018-10-16 10:30:00,2.998766933,2.842388259,1.71134198,1.02910769
2018-10-16 11:00:00,2.85229265,2.883345042,1.897548059,1.196736097
2018-10-16 11:30:00,2.831273788,2.848242584,1.849240075,1.210607648
2018-10-16 12:00:00,2.653574312,2.74896678,2.452108096,1.535337925
2018-10-16 12:30:00,2.612504367,2.705462614,2.44155073,1.501379967
2018-10-16 13:00:00,2.608727105,2.627205091,2.161496281,1.575070024
2018-10-16 13:30:00,2.599438325,2.627009746,2.152561404,1.411947012
2018-10-16 14:00:00,2.706076814,2.632175791,1.912198688,1.415712714
2018-10-16 14:30:00,2.836211014,2.830074444,1.920436064,1.309647799
2018-10-16 15:00:00,3.151639182,2.944471406,1.067793829,0.898405194
2018-10-16 15:30:00,3.396707324,3.200530898,1.027729866,0.750041962
2018-10-16 16:00:00,3.783646169,3.325571832,0.236724799,0.453011394
2018-10-16 16:30:00,3.832473734,3.434734285,0.2299146,0.377655983
2018-10-16 17:00:00,3.965958872,3.365451005,0.024824503,0.054528773
2018-10-16 17:30:00,3.975668959,3.306630707,0.024824503,0.033342153
2018-10-16 18:00:00,3.950107279,3.167768562,-0.008577297,0.005336493
2018-10-16 18:30:00,3.876661857,3.064888994,-0.008577297,0.003222138
2018-10-16 19:00:00,3.80513654,3.247076649,-0.008577297,0.005336493
2018-10-16 19:30:00,3.636550417,3.094565637,-0.008577297,0.005336493
